What are some other names for Riesling?,Rhine Riesling; Johannisburg Riesling; Weisser Riesling,"Light, fresh style with neutral character.","Melon & peach fruit flavours, tropical fruits e.g. banana, mango, fig, can be full bodied, high in alcohol & low acidity.","Sour, meaty, juicy"
How does Welschriesling differ from Riesling?,"Less delicate wines with lower acidity, easy to cultivate",Full bodied; high acidity; tannic; ages well; flavours of blackcurrant,Bunches loosely formed; thick-skinned grapes; high skin to pulp ratio; resistant to rot & insects,"Very tight bunches, small berries, very sweet juice, prone to rot"
What is the Italian version of Pinot Gris?,Pinot Grigio,Pinot Grigio,Baslas,A type of illness
In which regions is Pinot Gris widely produced?,Alsace; Tasmania; New Zealand; Pacific North West USA,Alsace; Tasmania; New Zealand; Pacific North West USA,The root,"Birmingham, Delhi, Plumsted"
What are characters of Pinot Gris?,"Oily, high in alcohol, low acidity, rich, aromatic, exotic fruit (e.g. melon, mango, ripe banana), sometimes botrytis in dry wines","Oily, high in alcohol, low acidity, rich, aromatic, exotic fruit (e.g. melon, mango, ripe banana), sometimes botrytis in dry wines",Chardonnay and Cabernet,"Birmingham, Delhi, Plumsted"
How is different Italian style of Pinot Gris achieved?,Harvested early to retain higher acidity and prevent development of too much fruitiness,Harvested early to retain higher acidity and prevent development of too much fruitiness,Malbec and Rosin,Penis Viifera
What are characteristics of Pinot Grigio wines?,"Light, fresh style with neutral character.","Light, fresh style with neutral character.",Cool calm and collected,"Melon & peach fruit flavours, tropical fruits e.g. banana, mango, fig, can be full bodied, high in alcohol & low acidity."
How is Pinot Grigio known in Germany?,Rulander or Grauburgunder,Rulander or Grauburgunder,Pinapple and grapefruit,"Sour, meaty, juicy"
Which small French regions produce the finest Viognier?,Condrieu & Chateau Grillet in Northern Rhone,Condrieu & Chateau Grillet in Northern Rhone,A type of port,"Loire Valley, Bordeaux, New Zealand, South Africa, Australia, Chile, California"
What are some characteristics of Viognier?,"soft, full bodied texture of Chardonnay but with more aromatic fruit character","soft, full bodied texture of Chardonnay but with more aromatic fruit character","Essex, Costa del Sol, Kent",You get pissed quicker
In which regions is Viognier widely grown?,"South of France, Australia, California","South of France, Australia, California","Essex, Costa del Sol, Kent","Burgundy, Champagne, California, Australia, New Zealand and others - widely grown"
What are the difficulties associated with cultivating Viognier?,Low yields; rapidly builds up very high sugar levels before delicate aromas have had chance to develop - leading to unbalanced high alcohol wines,Low yields; rapidly builds up very high sugar levels before delicate aromas have had chance to develop - leading to unbalanced high alcohol wines,Baslas,Tokai
What fruit flavour is most characteristic of the Muscat family of grapes?,Intense grapey flavour,Intense grapey flavour,"Sour, meaty, juicy",A buffalo
Which grape variety is used to produce Asti?,Muscat Blanc a Petits Grains,Muscat Blanc a Petits Grains,Pinapple and grapefruit,Crouchen Blanc
Unaged Muscat produces which aromas?,"Grape, peach, rose & citrus","Grape, peach, rose & citrus","Birmingham, Delhi, Plumsted","Laski Rizling (Slovenia, Croatia & Serbia); Olasz Rizling (Hungary)"
Describe the characteristics of oxidatively oak-aged Muscat.,"Very dark colour, aromas of raisins, fruit cake, toffee and coffee, yet retaining Muscat perfume","Very dark colour, aromas of raisins, fruit cake, toffee and coffee, yet retaining Muscat perfume",It's older,"Melon & peach fruit flavours, tropical fruits e.g. banana, mango, fig, can be full bodied, high in alcohol & low acidity."
"French Vins Doux Naturels, Spanish Moscatels and some Medium dry wines in California, South Africa and Australia are made with which grape?",Muscat of Alexandria,Muscat of Alexandria,"Birmingham, Delhi, Plumsted",Cabernet Sauvignon and Malbec
Muscat Ottonel is used for wines from which areas?,Alsace & Central Europe,Alsace & Central Europe,Roussau,Calais Jungle
In which regions is Chenin Blanc most commonly grown?,"Loire Valley, South Africa, California","Loire Valley, South Africa, California",The german batman,"Light, fresh style with neutral character."
Which appelations in the Loire Valley are most noted for their Chenin Blanc wines?,"Vouvray, Savennieres, Coteaux du Layon","Vouvray, Savennieres, Coteaux du Layon",Tokai,Full bodied; high acidity; tannic; ages well; flavours of blackcurrant
What is a difficulty with cultivating Chenin Blanc?,It ripens very unevenly,It ripens very unevenly,Crouchen Blanc,Pinot Grigio
Name some characteristics of Chenin Blanc?,"High in acidity, vegetal notes, aromas of green apples and citurs pith in younger dry examples; late harvested sweet versions can have powerful of botrytis","High in acidity, vegetal notes, aromas of green apples and citurs pith in younger dry examples; late harvested sweet versions can have powerful of botrytis","Sour, meaty, juicy",Alsace; Tasmania; New Zealand; Pacific North West USA
What characteristic of Cabernet Sauvingon reduces the possibility of damage from spring frosts?,It buds late,It buds late,Malbec and Rosin,"Oily, high in alcohol, low acidity, rich, aromatic, exotic fruit (e.g. melon, mango, ripe banana), sometimes botrytis in dry wines"
What are some characteristics of the Cabernet Sauvingon grapes?,Bunches loosely formed; thick-skinned grapes; high skin to pulp ratio; resistant to rot & insects,Bunches loosely formed; thick-skinned grapes; high skin to pulp ratio; resistant to rot & insects,La Rochelle,Harvested early to retain higher acidity and prevent development of too much fruitiness
What are key characteristics of wines made from Cabernet Sauvignon?,Full bodied; high acidity; tannic; ages well; flavours of blackcurrant,Full bodied; high acidity; tannic; ages well; flavours of blackcurrant,"Melon & peach fruit flavours, tropical fruits e.g. banana, mango, fig, can be full bodied, high in alcohol & low acidity.","Light, fresh style with neutral character."
What flavours other than blackcurrant might be expected from a cool climate Cabernet Sauvignon?,"Green capsicum, cedarwood","Green capsicum, cedarwood",Bunches loosely formed; thick-skinned grapes; high skin to pulp ratio; resistant to rot & insects,Rulander or Grauburgunder
What flavours other than blackcurrant might be expected from a warm climate Cabernet Sauvignon?,"Black cherry, black olive; Australians may have mint, eucalyptus or menthol","Black cherry, black olive; Australians may have mint, eucalyptus or menthol",A buffalo,Condrieu & Chateau Grillet in Northern Rhone
What are classic regions for Cabernet Sauvignon wines?,"Bordeaux (Medoc), Coonawarra (SE Australia), Hawkes Bay, Napa, Colchagua","Bordeaux (Medoc), Coonawarra (SE Australia), Hawkes Bay, Napa, Colchagua",Crouchen Blanc,"soft, full bodied texture of Chardonnay but with more aromatic fruit character"
Which two regions in Bordeaux are particular noted for Merlot?,"St Emillion, Pomerol","St Emillion, Pomerol","Laski Rizling (Slovenia, Croatia & Serbia); Olasz Rizling (Hungary)","South of France, Australia, California"
Which regions typically produce Merlot wines?,"Bordeaux, California, Chile, South of France, Australia/South Africa","Bordeaux, California, Chile, South of France, Australia/South Africa","Melon & peach fruit flavours, tropical fruits e.g. banana, mango, fig, can be full bodied, high in alcohol & low acidity.",Low yields; rapidly builds up very high sugar levels before delicate aromas have had chance to develop - leading to unbalanced high alcohol wines
What characteristics are typical of the international style of Merlot?,"Grapes harvested as late as possible to generate maximum possible degree of intense purple colour, blackberry/plum, soft velvety tannins, rich full body - high alcohol & concentrated fruit. May be supported by toasty new oak.","Grapes harvested as late as possible to generate maximum possible degree of intense purple colour, blackberry/plum, soft velvety tannins, rich full body - high alcohol & concentrated fruit. May be supported by toasty new oak.",Cabernet Sauvignon and Malbec,"Essex, Costa del Sol, Kent"
What are the characteristics of the Bordeaux style of Merlot as opposed to the international style?,"Harvest earier than international style, making wine with lighter body and alcohol and more red fruit character (raspberries/ripe strawberries) and vegetal/leafy aromas.","Harvest earier than international style, making wine with lighter body and alcohol and more red fruit character (raspberries/ripe strawberries) and vegetal/leafy aromas.",Calais Jungle,Sour bint
Where are the key areas for the Shiraz grape?,"Rhone, Australia, South America, South Africa, South of France for blending","Rhone, Australia, South America, South Africa, South of France for blending","Light, fresh style with neutral character.",Chardonnay
What are typical flavour characteristics of Shiraz?,"Blackberry; black pepper, mint (cool climate); earthy leathery flavours, liquorice, anise (hot climate)","Blackberry; black pepper, mint (cool climate); earthy leathery flavours, liquorice, anise (hot climate)",Full bodied; high acidity; tannic; ages well; flavours of blackcurrant,Roussau
What are some non flavour characteristics of Shiraz?,"Very deep colour, can have very high tannin levels, can age extremely well.","Very deep colour, can have very high tannin levels, can age extremely well.",Pinot Grigio,Tokai
Which is the most widely planted grape in Spain?,Garnacha (Grenache),Garnacha (Grenache),Alsace; Tasmania; New Zealand; Pacific North West USA,Pinapple and grapefruit
From which country does Grenache originate?,Spain,Spain,"Oily, high in alcohol, low acidity, rich, aromatic, exotic fruit (e.g. melon, mango, ripe banana), sometimes botrytis in dry wines",Pinot noir and pinot gris
In which regions is Grenache/Garnacha widely grown?,"Spain (Navarra, Rioja Baja), France (Southern Rhone, Midi), California, McClaren Vale (Aus)","Spain (Navarra, Rioja Baja), France (Southern Rhone, Midi), California, McClaren Vale (Aus)","High in acidity, vegetal notes, aromas of green apples and citurs pith in younger dry examples; late harvested sweet versions can have powerful of botrytis",Papillion
What are some non flavour characteristics of Grenache?,"Sweet thin-skinned grapes, high in alcohol, full bodied, soft tannins, tend to be quite pale in colour and tend to oxidise easily (browning at the rim even in young wines). Hot conditions to ripen fully, very tolerant of drought.","Sweet thin-skinned grapes, high in alcohol, full bodied, soft tannins, tend to be quite pale in colour and tend to oxidise easily (browning at the rim even in young wines). Hot conditions to ripen fully, very tolerant of drought.",It buds late,"Sour, meaty, juicy"
What are classic flavour characteristics of Grenache?,"Red fruits - strawberry and raspberry, hints of white pepper; can develop leather tar and toffee with age","Red fruits - strawberry and raspberry, hints of white pepper; can develop leather tar and toffee with age",Bunches loosely formed; thick-skinned grapes; high skin to pulp ratio; resistant to rot & insects,"Very tight bunches, small berries, very sweet juice, prone to rot"
What are some characteristics of Pinot Noir grapes?,"Very tight bunches, small berries, very sweet juice, prone to rot","Very tight bunches, small berries, very sweet juice, prone to rot",Full bodied; high acidity; tannic; ages well; flavours of blackcurrant,A type of illness
What are characteristics of young Pinot Noir wines?,"Fruity perfume of strawberries/raspberries or red cherries, soft light tannins, pale in colour","Fruity perfume of strawberries/raspberries or red cherries, soft light tannins, pale in colour","Green capsicum, cedarwood","Birmingham, Delhi, Plumsted"
What characters develop in ageing Pinot Noir wines?,Vegetal & farmyard aromas,Vegetal & farmyard aromas,"Black cherry, black olive; Australians may have mint, eucalyptus or menthol","Birmingham, Delhi, Plumsted"
In which regions is Pinot Noir widely grown?,"Burgundy, Sonoma/Carneros (California), Walker Bay (SA), Yarra Valley (Aus), Martinborough, Marlborough & Central Otago (NZ) - also consituent of Champagne and many other sparkling wines.","Burgundy, Sonoma/Carneros (California), Walker Bay (SA), Yarra Valley (Aus), Martinborough, Marlborough & Central Otago (NZ) - also consituent of Champagne and many other sparkling wines.","Bordeaux (Medoc), Coonawarra (SE Australia), Hawkes Bay, Napa, Colchagua",Penis Viifera
Which grape is used in the production of Chianti?,Sangiovese,Sangiovese,"St Emillion, Pomerol","Melon & peach fruit flavours, tropical fruits e.g. banana, mango, fig, can be full bodied, high in alcohol & low acidity."
Which grape is used in the production of Brunello di Montalcino?,Sangiovese,Sangiovese,"Bordeaux, California, Chile, South of France, Australia/South Africa","Sour, meaty, juicy"
Which grape is used in the production of Vino Nobile de Montepulciano?,Sangiovese,Sangiovese,"Grapes harvested as late as possible to generate maximum possible degree of intense purple colour, blackberry/plum, soft velvety tannins, rich full body - high alcohol & concentrated fruit. May be supported by toasty new oak.","Loire Valley, Bordeaux, New Zealand, South Africa, Australia, Chile, California"
Which grape is used in the prodction of Vouvray?,Chenin Blanc,Chenin Blanc,"Harvest earier than international style, making wine with lighter body and alcohol and more red fruit character (raspberries/ripe strawberries) and vegetal/leafy aromas.","Grapes harvested as late as possible to generate maximum possible degree of intense purple colour, blackberry/plum, soft velvety tannins, rich full body - high alcohol & concentrated fruit. May be supported by toasty new oak."
Which grape is used in the production of Pouilly Fume?,Sauvignon Blanc,Sauvignon Blanc,"Fruity perfume of strawberries/raspberries or red cherries, soft light tannins, pale in colour","Harvest earier than international style, making wine with lighter body and alcohol and more red fruit character (raspberries/ripe strawberries) and vegetal/leafy aromas."
Which grape is used in the production of Sancerre?,Sauvignon Blanc,Sauvignon Blanc,Vegetal & farmyard aromas,"Fruity perfume of strawberries/raspberries or red cherries, soft light tannins, pale in colour"
Which grape is predominant in left-bank Bordeaux wines?,Cabernet Sauvignon,Cabernet Sauvignon,"Burgundy, Sonoma/Carneros (California), Walker Bay (SA), Yarra Valley (Aus), Martinborough, Marlborough & Central Otago (NZ) - also consituent of Champagne and many other sparkling wines.",Vegetal & farmyard aromas
Which grape is the major constituent of Rioja wines?,Tempranillo,Tempranillo,Sangiovese,"Burgundy, Sonoma/Carneros (California), Walker Bay (SA), Yarra Valley (Aus), Martinborough, Marlborough & Central Otago (NZ) - also consituent of Champagne and many other sparkling wines."
Which grape is the major constituent of Ribera del Duero wines?,Tempranillo,Tempranillo,Sangiovese,Sangiovese
Super Tuscans are typically blends of which grapes?,Sangiovese & Cabernet Sauvignon,Sangiovese & Cabernet Sauvignon,Sangiovese,Sangiovese
What are characteristics of Sangiovese?,"High in acidity, sour red cherry fruit character, astringent tannins and earthy dusty aromas (tea leaves).","High in acidity, sour red cherry fruit character, astringent tannins and earthy dusty aromas (tea leaves).",Chenin Blanc,Sangiovese
In which areas is Sangiovese widely grown?,"Central & southern Italy, Argentina.","Central & southern Italy, Argentina.",Sauvignon Blanc,Chenin Blanc
Ull de Llebre is another name for which grape?,Tempranillo,Tempranillo,Sauvignon Blanc,Sauvignon Blanc
Cencibel is another name for which grape?,Tempranillo,Tempranillo,Cabernet Sauvignon,Sauvignon Blanc
Tinto del Pais is another name for which grape?,Tempranillo,Tempranillo,Tempranillo,"Burgundy, Sonoma/Carneros (California), Walker Bay (SA), Yarra Valley (Aus), Martinborough, Marlborough & Central Otago (NZ) - also consituent of Champagne and many other sparkling wines."
What are Portuguese names for Tempranillo?,Tinta Roriz & Aragonez,One or more long canes with up to 15 buds is retained,"Oily, high in alcohol, low acidity, rich, aromatic, exotic fruit (e.g. melon, mango, ripe banana), sometimes botrytis in dry wines","to restrict vegetative growth, to direct sugar production to the grapes rather than the growth of shoots and leaves, to control the leaf canopy to increase exposure of grapes to sunshine, to aerate grapes reducing chane of fungal infections"
On which type of soil does Tempranillo grow best?,Chalky soil,Vertical shoot positioning,"High in acidity, vegetal notes, aromas of green apples and citurs pith in younger dry examples; late harvested sweet versions can have powerful of botrytis",The cordon
What are some characteristics of Tempranillo?,"Light tannins and colour, nose of soft leather, flavours of ripe strawberry.","to restrict vegetative growth, to direct sugar production to the grapes rather than the growth of shoots and leaves, to control the leaf canopy to increase exposure of grapes to sunshine, to aerate grapes reducing chane of fungal infections",It buds late,"The southern Rhone, Barossa Valley"
Where is Tempranillo grown?,"Spain, Portugal, Argentina - gaining popularity across New World",The cordon,Bunches loosely formed; thick-skinned grapes; high skin to pulp ratio; resistant to rot & insects,"Restricted airflow in the canopy increasing chance of rot, and the shade created by the canopy may inhibit ripening"
Which degrees of latitude are most wines grown between worldwide (to nearest 10 degrees)?,30 to 50,"The southern Rhone, Barossa Valley",Full bodied; high acidity; tannic; ages well; flavours of blackcurrant,"Bush trained, but shoots tied together at the tips, which helps expose bunches to air and sunlight"
What are characteristics of a maritime climate?,"Warm summers, mild winters","Restricted airflow in the canopy increasing chance of rot, and the shade created by the canopy may inhibit ripening","Green capsicum, cedarwood",Large crops of bloated flavourless grapes; wine lacking character
What is a Mediterranean climate?,A maritime climate where most rainfall occurs in winter,"Bush trained, but shoots tied together at the tips, which helps expose bunches to air and sunlight","Black cherry, black olive; Australians may have mint, eucalyptus or menthol",The grapes may fail to ripen properly as the sugars produced in the leaves are shared between too many grapes
What defines a continental climate?,Extreme temperatures in both summer and winter,Large crops of bloated flavourless grapes; wine lacking character,"Bordeaux (Medoc), Coonawarra (SE Australia), Hawkes Bay, Napa, Colchagua",Where the grower goes through the vineyard at veraison and pick out excess bunches
Which wine producing regions outside of the Mediterranean are considered to have a Mediterranean climate?,"California, Chile, South Africa, South & South West Australia",The grapes may fail to ripen properly as the sugars produced in the leaves are shared between too many grapes,"St Emillion, Pomerol","Phylloxera; Grape Moths (Cochylis, Pyralis & Eudemis); Red & yellow spider mites; Nematodes; Birds & animals (deer, wild boar, badgers)"
La Mancha in Spain would be considered to have which climate?,Continental,Where the grower goes through the vineyard at veraison and pick out excess bunches,"Bordeaux, California, Chile, South of France, Australia/South Africa","Oily, high in alcohol, low acidity, rich, aromatic, exotic fruit (e.g. melon, mango, ripe banana), sometimes botrytis in dry wines"
Proximity to which natural features decreases the likelihood of frost?,"water - rivers, seas etc.","Phylloxera; Grape Moths (Cochylis, Pyralis & Eudemis); Red & yellow spider mites; Nematodes; Birds & animals (deer, wild boar, badgers)","Grapes harvested as late as possible to generate maximum possible degree of intense purple colour, blackberry/plum, soft velvety tannins, rich full body - high alcohol & concentrated fruit. May be supported by toasty new oak.","High in acidity, vegetal notes, aromas of green apples and citurs pith in younger dry examples; late harvested sweet versions can have powerful of botrytis"
What is the name of the process by which a vinegrower can affect the climate of an individual vine?,Canopy management,"Oily, high in alcohol, low acidity, rich, aromatic, exotic fruit (e.g. melon, mango, ripe banana), sometimes botrytis in dry wines","Harvest earier than international style, making wine with lighter body and alcohol and more red fruit character (raspberries/ripe strawberries) and vegetal/leafy aromas.",It buds late
Name 3 main forms of protection against spring frost.,"Smudge pots (creating smoke), wind machines, sprinklers","High in acidity, vegetal notes, aromas of green apples and citurs pith in younger dry examples; late harvested sweet versions can have powerful of botrytis",Vertical shoot positioning,Bunches loosely formed; thick-skinned grapes; high skin to pulp ratio; resistant to rot & insects
What can be the negative effect of rain close to harvest time?,"Dilution of sugars and flavours in the grapes, and rot",It buds late,"to restrict vegetative growth, to direct sugar production to the grapes rather than the growth of shoots and leaves, to control the leaf canopy to increase exposure of grapes to sunshine, to aerate grapes reducing chane of fungal infections",Full bodied; high acidity; tannic; ages well; flavours of blackcurrant
Name a region particularly prone to hail damage,"Argentina (Mendoza), Barolo",Bunches loosely formed; thick-skinned grapes; high skin to pulp ratio; resistant to rot & insects,The cordon,"Green capsicum, cedarwood"
What is coulure?,Floral abortion - the term used when non-fertilized blossom is shed,Full bodied; high acidity; tannic; ages well; flavours of blackcurrant,"The southern Rhone, Barossa Valley","Black cherry, black olive; Australians may have mint, eucalyptus or menthol"
What is millerandage?,The appearance of small seedless grapes within a bunch - usually the result of unsatisfactory pollination,"Green capsicum, cedarwood","Restricted airflow in the canopy increasing chance of rot, and the shade created by the canopy may inhibit ripening","Bordeaux (Medoc), Coonawarra (SE Australia), Hawkes Bay, Napa, Colchagua"
What are names of the large stones in the terroir of Chateauneuf du Pape?,Pudding stones or galets,"Black cherry, black olive; Australians may have mint, eucalyptus or menthol","Bush trained, but shoots tied together at the tips, which helps expose bunches to air and sunlight","St Emillion, Pomerol"
What is chlorosis?,When leaves of a vine turn yellow and yields fall as a result of reduced photosynthesis,"Bordeaux (Medoc), Coonawarra (SE Australia), Hawkes Bay, Napa, Colchagua",Large crops of bloated flavourless grapes; wine lacking character,"Bordeaux, California, Chile, South of France, Australia/South Africa"
What causes chlorosis?,"Lime rich soil, excess heat, transpiration, lack of water, lack of free iron in soil","St Emillion, Pomerol",The grapes may fail to ripen properly as the sugars produced in the leaves are shared between too many grapes,"Grapes harvested as late as possible to generate maximum possible degree of intense purple colour, blackberry/plum, soft velvety tannins, rich full body - high alcohol & concentrated fruit. May be supported by toasty new oak."
How might a vine grower deal with chlorosis?,"Treat soil with ferrous sulphate, careful selection of rootstock, use of specialist fertilisers","Bordeaux, California, Chile, South of France, Australia/South Africa",Where the grower goes through the vineyard at veraison and pick out excess bunches,"Harvest earier than international style, making wine with lighter body and alcohol and more red fruit character (raspberries/ripe strawberries) and vegetal/leafy aromas."
Most vines consist of what kind of rootstock?,American,"Grapes harvested as late as possible to generate maximum possible degree of intense purple colour, blackberry/plum, soft velvety tannins, rich full body - high alcohol & concentrated fruit. May be supported by toasty new oak.","Phylloxera; Grape Moths (Cochylis, Pyralis & Eudemis); Red & yellow spider mites; Nematodes; Birds & animals (deer, wild boar, badgers)",A maritime climate where most rainfall occurs in winter
What are names for last year's wood on the vines?,spurs & canes,"Harvest earier than international style, making wine with lighter body and alcohol and more red fruit character (raspberries/ripe strawberries) and vegetal/leafy aromas.","Powdery mildew, downy mildew, grey rot, noble rot, black rot, Eutypa dieback, Pierce's disease",Extreme temperatures in both summer and winter
How many buds will a cane have?,Between 8 and 15,A maritime climate where most rainfall occurs in winter,"Pinot Noir, Gamay, Chardonnay & Aligote","California, Chile, South Africa, South & South West Australia"
What us a spur?,"Where a cane is pruned short, leaving only 2 or 3 buds",Extreme temperatures in both summer and winter,A maritime climate where most rainfall occurs in winter,Continental
What are the two types of winter pruning?,"Replacement cane pruning, spur pruning","California, Chile, South Africa, South & South West Australia",Extreme temperatures in both summer and winter,"water - rivers, seas etc."
What qualities are notable in spur-pruned vines when compared to replacement cane pruned vines?,They tend to be more vigorous,Continental,"California, Chile, South Africa, South & South West Australia",Canopy management
What is replacement cane pruning?,One or more long canes with up to 15 buds is retained,"water - rivers, seas etc.",Continental,"Smudge pots (creating smoke), wind machines, sprinklers"
What does VSP stand for?,Vertical shoot positioning,Canopy management,"water - rivers, seas etc.","Dilution of sugars and flavours in the grapes, and rot"
What are purposes of summer pruning?,"to restrict vegetative growth, to direct sugar production to the grapes rather than the growth of shoots and leaves, to control the leaf canopy to increase exposure of grapes to sunshine, to aerate grapes reducing chane of fungal infections","Smudge pots (creating smoke), wind machines, sprinklers",Canopy management,"Argentina (Mendoza), Barolo"
What is another name for the cane?,The cordon,"Dilution of sugars and flavours in the grapes, and rot","Smudge pots (creating smoke), wind machines, sprinklers",Floral abortion - the term used when non-fertilized blossom is shed
Name some regions where bush vines are common,"The southern Rhone, Barossa Valley","Argentina (Mendoza), Barolo","Dilution of sugars and flavours in the grapes, and rot",The appearance of small seedless grapes within a bunch - usually the result of unsatisfactory pollination
Why might bush vines not be suitable in cool wet regions?,"Restricted airflow in the canopy increasing chance of rot, and the shade created by the canopy may inhibit ripening",Floral abortion - the term used when non-fertilized blossom is shed,"Argentina (Mendoza), Barolo",Pudding stones or galets
What system is used to train the vines in Beaujolais?,"Bush trained, but shoots tied together at the tips, which helps expose bunches to air and sunlight",The appearance of small seedless grapes within a bunch - usually the result of unsatisfactory pollination,Floral abortion - the term used when non-fertilized blossom is shed,"to restrict vegetative growth, to direct sugar production to the grapes rather than the growth of shoots and leaves, to control the leaf canopy to increase exposure of grapes to sunshine, to aerate grapes reducing chane of fungal infections"
What negative effects can be caused by excessive rainfall or irrigation?,Large crops of bloated flavourless grapes; wine lacking character,Pudding stones or galets,The appearance of small seedless grapes within a bunch - usually the result of unsatisfactory pollination,The cordon
What is a negative effect of excessive yields?,The grapes may fail to ripen properly as the sugars produced in the leaves are shared between too many grapes,When leaves of a vine turn yellow and yields fall as a result of reduced photosynthesis,Pudding stones or galets,"The southern Rhone, Barossa Valley"
What is green harvesting?,Where the grower goes through the vineyard at veraison and pick out excess bunches,"Lime rich soil, excess heat, transpiration, lack of water, lack of free iron in soil",When leaves of a vine turn yellow and yields fall as a result of reduced photosynthesis,"Restricted airflow in the canopy increasing chance of rot, and the shade created by the canopy may inhibit ripening"
Name some vineyard pests,"Phylloxera; Grape Moths (Cochylis, Pyralis & Eudemis); Red & yellow spider mites; Nematodes; Birds & animals (deer, wild boar, badgers)","Treat soil with ferrous sulphate, careful selection of rootstock, use of specialist fertilisers","Lime rich soil, excess heat, transpiration, lack of water, lack of free iron in soil","Bush trained, but shoots tied together at the tips, which helps expose bunches to air and sunlight"
Name some diseases of the vine,"Powdery mildew, downy mildew, grey rot, noble rot, black rot, Eutypa dieback, Pierce's disease",American,"Treat soil with ferrous sulphate, careful selection of rootstock, use of specialist fertilisers",Large crops of bloated flavourless grapes; wine lacking character
What are the four key Burgundian grapes?,"Pinot Noir, Gamay, Chardonnay & Aligote","Riesling, Muscat, Gewurztraminer, Pinot Gris",American,The grapes may fail to ripen properly as the sugars produced in the leaves are shared between too many grapes
What is the normal main grape variety in Bourgogne Blanc?,Chardonnay,Vendange Tardive (VT) and Selection de Grains Nobles (SGN),"Riesling, Muscat, Gewurztraminer, Pinot Gris",Where the grower goes through the vineyard at veraison and pick out excess bunches
What is the normal main grape variety in Bourgogne Rouge?,Pinot Noir,14% for Riesling and Muscat; 15.3% for Pinot Gris and Gewurztraminer,Vendange Tardive (VT) and Selection de Grains Nobles (SGN),"Phylloxera; Grape Moths (Cochylis, Pyralis & Eudemis); Red & yellow spider mites; Nematodes; Birds & animals (deer, wild boar, badgers)"
